iter	Passed	Remaining
0	26	18806
1	45	16020
2	70	16410
3	93	16256
4	114	15860
5	140	16259
6	160	15877
7	187	16258
8	208	16023
9	231	16007
10	251	15726
11	273	15683
12	292	15462
13	316	15515
14	344	15729
15	366	15679
16	398	16029
17	424	16068
18	447	16042
19	470	15990
20	489	15839
21	516	15904
22	538	15864
23	562	15839
24	580	15678
25	604	15668
26	624	15553
27	646	15527
28	666	15427
29	690	15410
30	715	15442
31	736	15378
32	759	15342
33	779	15262
34	800	15205
35	820	15133
36	845	15148
37	865	15082
38	888	15060
39	918	15161
40	944	15184
41	965	15133
42	982	15005
43	1001	14927
44	1023	14903
45	1046	14878
46	1065	14807
47	1089	14796
48	1111	14763
49	1139	14812
50	1164	14816
51	1189	14816
52	1212	14801
53	1235	14775
54	1257	14747
55	1277	14695
56	1300	14674
57	1322	14638
58	1344	14604
59	1362	14535
60	1385	14510
61	1404	14449
62	1426	14427
63	1447	14381
64	1471	14376
65	1495	14364
66	1525	14411
67	1548	14390
68	1568	14345
69	1589	14309
70	1608	14246
71	1629	14209
72	1648	14161
73	1660	14049
74	1681	14012
75	1706	14011
76	1730	14005
77	1753	13984
78	1773	13939
79	1795	13915
80	1814	13862
81	1836	13843
82	1854	13787
83	1874	13745
84	1886	13652
85	1908	13628
86	1933	13622
87	1956	13605
88	1965	13490
89	1984	13449
90	2004	13414
91	2024	13380
92	2044	13342
93	2064	13306
94	2083	13271
95	2109	13269
96	2131	13252
97	2146	13186
98	2169	13169
99	2181	13088
100	2193	13009
101	2216	12995
102	2234	12952
103	2257	12935
104	2277	12907
105	2297	12875
106	2322	12873
107	2342	12838
108	2360	12799
109	2380	12765
110	2401	12740
111	2422	12717
112	2435	12651
113	2457	12634
114	2483	12631
115	2510	12638
116	2528	12597
117	2554	12598
118	2578	12588
119	2590	12518
120	2603	12458
121	2626	12443
122	2646	12416
123	2667	12389
124	2689	12371
125	2704	12318
126	2727	12304
127	2735	12223
128	2757	12206
129	2776	12171
130	2797	12150
131	2816	12121
132	2839	12104
133	2856	12067
134	2880	12055
135	2900	12029
136	2923	12014
137	2947	12005
138	2966	11974
139	2981	11924
140	2997	11882
141	3016	11851
142	3033	11815
143	3049	11776
144	3066	11736
145	3084	11704
146	3103	11674
147	3125	11655
148	3144	11627
149	3168	11617
150	3188	11594
151	3214	11588
152	3239	11583
153	3269	11590
154	3303	11615
155	3335	11629
156	3362	11630
157	3383	11606
158	3402	11578
159	3428	11569
160	3448	11543
161	3458	11487
162	3483	11474
163	3510	11472
164	3532	11453
165	3552	11426
166	3570	11395
167	3588	11363
168	3608	11336
169	3629	11315
170	3641	11266
171	3667	11256
172	3697	11263
173	3710	11218
174	3729	11187
175	3753	11174
176	3773	11149
177	3795	11131
178	3815	11104
179	3835	11078
180	3853	11048
181	3877	11037
182	3910	11047
183	3929	11019
184	3953	11005
185	3972	10978
186	3996	10963
187	4014	10932
188	4034	10908
189	4053	10881
190	4079	10871
191	4101	10851
192	4125	10836
193	4145	10813
194	4169	10797
195	4188	10771
196	4210	10751
197	4232	10730
198	4249	10699
199	4270	10675
200	4294	10661
201	4318	10646
202	4335	10614
203	4356	10591
204	4376	10566
205	4392	10534
206	4419	10526
207	4442	10509
208	4461	10480
209	4493	10484
210	4510	10454
211	4529	10425
212	4542	10386
213	4563	10364
214	4583	10339
215	4605	10319
216	4626	10297
217	4648	10278
218	4670	10257
219	4700	10255
220	4722	10235
221	4743	10212
222	4764	10192
223	4787	10173
224	4813	10160
225	4843	10158
226	4874	10157
227	4902	10148
228	4923	10126
229	4949	10113
230	4976	10103
231	5000	10088
232	5034	10090
233	5068	10094
234	5099	10089
235	5123	10074
236	5145	10052
237	5164	10024
238	5187	10005
239	5212	9990
240	5231	9964
241	5251	9938
242	5282	9933
243	5308	9920
244	5329	9897
245	5346	9867
246	5367	9844
247	5387	9819
248	5410	9799
249	5429	9773
250	5452	9753
251	5473	9730
252	5499	9715
253	5526	9703
254	5544	9675
255	5567	9655
256	5586	9629
257	5611	9613
258	5632	9589
259	5652	9565
260	5673	9543
261	5695	9522
262	5714	9495
263	5738	9476
264	5756	9449
265	5777	9426
266	5798	9403
267	5822	9384
268	5838	9355
269	5862	9336
270	5883	9313
271	5905	9292
272	5928	9272
273	5946	9245
274	5966	9221
275	5988	9199
276	6008	9174
277	6035	9161
278	6057	9140
279	6084	9126
280	6107	9107
281	6125	9079
282	6148	9060
283	6165	9031
284	6189	9012
285	6206	8984
286	6230	8965
287	6249	8940
288	6273	8922
289	6300	8907
290	6319	8882
291	6341	8860
292	6361	8836
293	6384	8817
294	6404	8793
295	6424	8768
296	6448	8749
297	6472	8732
298	6497	8713
299	6519	8693
300	6541	8670
301	6565	8651
302	6584	8627
303	6604	8603
304	6626	8581
305	6645	8557
306	6672	8541
307	6692	8518
308	6716	8498
309	6735	8473
310	6762	8458
311	6782	8434
312	6808	8418
313	6827	8392
314	6850	8372
315	6873	8352
316	6893	8328
317	6916	8308
318	6939	8288
319	6958	8263
320	6977	8238
321	6997	8214
322	7018	8191
323	7041	8172
324	7067	8155
325	7092	8136
326	7112	8112
327	7133	8090
328	7152	8066
329	7175	8045
330	7194	8020
331	7214	7996
332	7233	7971
333	7262	7958
334	7281	7933
335	7305	7914
336	7324	7889
