iter	Passed	Remaining
0	33	23708
1	53	18716
2	70	16388
3	91	15876
4	106	14846
5	125	14467
6	143	14247
7	161	13960
8	181	13968
9	201	13885
10	220	13800
11	239	13720
12	257	13617
13	274	13472
14	292	13371
15	309	13246
16	324	13041
17	342	12985
18	360	12905
19	377	12846
20	388	12572
21	406	12523
22	426	12555
23	448	12618
24	466	12604
25	488	12674
26	504	12578
27	518	12445
28	534	12365
29	548	12239
30	563	12157
31	578	12071
32	593	11987
33	609	11941
34	624	11868
35	635	11713
36	650	11657
37	666	11613
38	681	11545
39	696	11490
40	713	11466
41	723	11327
42	738	11280
43	753	11228
44	768	11183
45	783	11136
46	798	11088
47	813	11047
48	829	11015
49	840	10932
50	856	10896
51	871	10859
52	886	10821
53	897	10738
54	913	10712
55	923	10619
56	940	10612
57	951	10533
58	966	10495
59	982	10478
60	997	10454
61	1012	10421
62	1022	10341
63	1030	10241
64	1045	10213
65	1060	10187
66	1074	10155
67	1083	10072
68	1095	10015
69	1111	9999
70	1126	9980
71	1136	9911
72	1151	9893
73	1167	9877
74	1184	9874
75	1192	9794
76	1207	9770
77	1222	9752
78	1237	9726
79	1252	9703
80	1267	9685
81	1276	9621
82	1286	9565
83	1295	9496
84	1309	9471
85	1324	9455
86	1339	9437
87	1354	9416
88	1364	9367
89	1372	9299
90	1381	9242
91	1395	9224
92	1403	9163
93	1420	9158
94	1436	9151
95	1449	9117
96	1464	9101
97	1478	9082
98	1490	9046
99	1505	9035
100	1521	9023
101	1535	9002
102	1551	8993
103	1567	8984
104	1582	8965
105	1597	8952
106	1612	8935
107	1627	8923
108	1636	8871
109	1647	8837
110	1662	8819
111	1677	8805
112	1692	8793
113	1708	8783
114	1722	8761
115	1737	8746
116	1752	8734
117	1767	8716
118	1781	8698
119	1796	8684
120	1811	8670
121	1828	8661
122	1840	8634
123	1859	8636
124	1872	8615
125	1881	8571
126	1895	8551
127	1907	8524
128	1915	8480
129	1933	8476
130	1941	8433
131	1957	8421
132	1972	8409
133	1987	8394
134	2000	8372
135	2015	8358
136	2029	8340
137	2044	8324
138	2059	8310
139	2065	8261
140	2075	8229
141	2090	8215
142	2106	8203
143	2120	8188
144	2135	8174
145	2151	8165
146	2166	8148
147	2181	8134
148	2199	8132
149	2222	8147
150	2239	8142
151	2258	8141
152	2268	8111
153	2278	8078
154	2296	8075
155	2315	8076
156	2323	8036
157	2340	8029
158	2356	8018
159	2375	8015
160	2392	8008
161	2400	7971
162	2415	7958
163	2435	7960
164	2452	7952
165	2461	7918
166	2477	7908
167	2490	7886
168	2514	7899
169	2533	7897
170	2548	7883
171	2571	7892
172	2589	7888
173	2610	7892
174	2632	7896
175	2659	7917
176	2682	7927
177	2695	7906
178	2716	7906
179	2740	7916
180	2761	7919
181	2784	7923
182	2808	7933
183	2833	7945
184	2860	7964
185	2894	7997
186	2913	7993
187	2940	8007
188	2951	7980
189	2972	7978
190	2983	7949
191	2999	7937
192	3014	7919
193	3030	7903
194	3041	7877
195	3058	7865
196	3071	7843
197	3089	7833
198	3107	7823
199	3125	7812
200	3145	7808
201	3160	7792
202	3169	7760
203	3181	7734
204	3200	7729
205	3217	7716
206	3235	7706
207	3256	7703
208	3274	7692
209	3292	7682
210	3309	7670
211	3325	7654
212	3345	7648
213	3362	7635
214	3379	7623
215	3402	7625
216	3423	7620
217	3446	7621
218	3470	7622
219	3485	7604
220	3505	7597
221	3528	7596
222	3546	7586
223	3564	7574
224	3582	7562
225	3605	7561
226	3624	7551
227	3644	7544
228	3663	7534
229	3680	7520
230	3704	7521
231	3719	7503
232	3733	7483
233	3750	7468
234	3768	7456
235	3785	7441
236	3799	7422
237	3814	7405
238	3829	7386
239	3843	7367
240	3858	7349
241	3874	7333
242	3889	7314
243	3904	7297
244	3920	7280
245	3935	7262
246	3949	7243
247	3965	7227
248	3982	7212
249	3997	7195
250	4011	7175
251	4026	7157
252	4040	7138
253	4055	7120
254	4070	7103
255	4084	7084
256	4107	7079
257	4129	7073
258	4152	7070
259	4180	7074
260	4202	7068
261	4219	7053
262	4236	7038
263	4255	7027
264	4269	7009
265	4285	6991
266	4300	6974
267	4314	6955
268	4328	6935
269	4344	6918
270	4360	6902
271	4375	6885
272	4391	6868
273	4408	6854
274	4424	6837
275	4439	6819
276	4453	6800
277	4470	6786
278	4484	6766
279	4499	6748
280	4514	6731
281	4529	6714
282	4544	6695
283	4559	6679
284	4574	6661
285	4587	6641
286	4602	6623
287	4616	6604
288	4630	6585
289	4645	6567
290	4661	6551
291	4678	6537
292	4696	6524
293	4715	6512
294	4738	6505
295	4756	6491
296	4775	6479
297	4791	6463
298	4807	6447
299	4825	6433
300	4843	6419
301	4859	6404
302	4877	6390
303	4895	6377
304	4914	6364
305	4931	6350
306	4949	6336
307	4966	6320
308	4984	6307
309	5000	6291
310	5017	6276
311	5033	6259
312	5048	6242
313	5064	6225
314	5078	6207
315	5093	6189
316	5107	6171
317	5123	6154
318	5139	6138
319	5154	6120
320	5170	6104
321	5185	6087
322	5200	6069
323	5214	6051
324	5230	6035
325	5245	6018
326	5259	5999
327	5274	5982
328	5289	5964
329	5304	5947
330	5319	5930
331	5333	5911
332	5347	5893
333	5362	5876
334	5379	5861
335	5397	5846
336	5414	5832
337	5431	5817
338	5451	5804
339	5474	5796
340	5503	5793
341	5523	5781
342	5544	5770
343	5563	5758
344	5590	5752
345	5612	5742
346	5633	5730
347	5650	5715
348	5672	5704
349	5689	5689
350	5705	5673
351	5727	5662
352	5756	5659
353	5776	5646
354	5800	5636
355	5826	5629
356	5848	5619
357	5871	5608
358	5891	5596
359	5912	5584
360	5932	5570
361	5950	5556
362	5965	5538
363	5981	5521
364	5999	5506
365	6018	5492
366	6034	5475
367	6054	5462
368	6072	5447
369	6091	5433
370	6128	5434
371	6151	5423
372	6176	5415
373	6198	5403
374	6222	5392
375	6245	5381
376	6265	5367
377	6285	5354
378	6303	5338
379	6322	5324
380	6342	5310
381	6365	5298
382	6399	5296
383	6422	5285
384	6446	5274
385	6473	5265
386	6499	5256
387	6523	5245
388	6550	5237
389	6571	5223
390	6592	5210
391	6614	5196
392	6636	5184
393	6659	5172
394	6687	5164
395	6712	5152
396	6728	5134
397	6744	5117
398	6759	5099
399	6776	5082
400	6790	5063
401	6804	5044
402	6818	5025
403	6832	5006
404	6847	4987
405	6862	4969
406	6879	4952
407	6895	4934
408	6912	4918
409	6928	4900
410	6944	4883
411	6962	4867
412	6985	4854
413	7008	4841
414	7030	4828
415	7051	4813
416	7078	4803
417	7099	4789
418	7120	4775
419	7141	4761
420	7165	4748
421	7187	4734
422	7202	4716
423	7217	4697
424	7235	4681
425	7251	4664
426	7269	4647
427	7286	4630
428	7302	4613
429	7317	4594
430	7333	4577
431	7350	4560
432	7367	4543
433	7388	4528
434	7413	4516
435	7434	4501
436	7451	4484
437	7472	4469
438	7495	4456
439	7522	4445
440	7550	4434
441	7575	4421
442	7600	4409
443	7627	4398
444	7649	4383
445	7670	4368
446	7686	4350
447	7701	4332
448	7717	4314
449	7732	4295
450	7747	4277
451	7761	4258
452	7778	4241
453	7792	4222
454	7808	4204
455	7823	4186
456	7838	4167
457	7848	4146
458	7862	4128
459	7877	4110
460	7893	4092
461	7908	4074
462	7924	4056
463	7941	4039
464	7957	4021
465	7974	4004
466	7989	3986
467	8004	3967
468	8022	3951
469	8038	3933
470	8053	3915
471	8068	3897
472	8083	3879
473	8098	3861
474	8113	3843
475	8127	3824
476	8139	3805
477	8155	3787
478	8172	3770
479	8186	3752
480	8201	3733
481	8214	3715
482	8229	3697
483	8244	3679
484	8259	3661
485	8275	3643
486	8290	3626
487	8305	3608
488	8320	3590
489	8335	3572
490	8350	3554
491	8366	3536
492	8384	3520
493	8399	3502
494	8413	3484
495	8428	3466
496	8443	3448
497	8459	3431
498	8474	3413
499	8489	3395
500	8504	3377
501	8518	3359
502	8534	3342
503	8548	3324
504	8564	3306
505	8576	3288
506	8590	3270
507	8605	3252
508	8620	3234
509	8641	3219
510	8658	3202
511	8672	3184
512	8688	3167
513	8703	3149
514	8717	3131
515	8732	3113
516	8745	3095
517	8759	3077
518	8780	3062
519	8798	3045
520	8816	3029
521	8839	3014
522	8859	2998
523	8883	2983
524	8904	2968
525	8924	2952
526	8948	2937
527	8966	2920
528	8986	2904
529	9007	2889
530	9028	2873
531	9048	2857
532	9063	2839
533	9078	2822
534	9093	2804
535	9109	2787
536	9124	2769
537	9139	2752
538	9155	2734
539	9170	2717
540	9185	2699
541	9199	2681
542	9214	2664
543	9229	2646
544	9245	2629
545	9260	2612
546	9275	2594
547	9292	2577
548	9307	2560
549	9323	2542
550	9337	2525
551	9352	2507
552	9369	2490
553	9385	2473
554	9399	2455
555	9413	2438
556	9427	2420
557	9443	2403
558	9457	2385
559	9473	2368
560	9488	2350
561	9503	2333
562	9517	2316
563	9532	2298
564	9549	2281
565	9563	2264
566	9577	2246
567	9592	2229
568	9607	2211
569	9621	2194
570	9636	2177
571	9651	2159
572	9666	2142
573	9680	2124
574	9694	2107
575	9709	2090
576	9723	2072
577	9738	2055
578	9753	2038
579	9768	2021
580	9784	2003
581	9800	1987
582	9816	1969
583	9830	1952
584	9846	1935
585	9861	1918
586	9875	1901
587	9889	1883
588	9904	1866
589	9919	1849
590	9935	1832
591	9950	1815
592	9965	1798
593	9980	1781
594	9995	1763
595	10010	1746
596	10026	1729
597	10043	1713
598	10057	1695
599	10072	1678
600	10087	1661
601	10101	1644
602	10116	1627
603	10131	1610
604	10146	1593
605	10161	1576
606	10176	1559
607	10190	1541
608	10205	1524
609	10220	1507
610	10234	1490
611	10252	1474
612	10269	1457
613	10283	1440
614	10299	1423
615	10314	1406
616	10330	1389
617	10344	1372
618	10361	1355
619	10377	1338
620	10392	1322
621	10405	1304
622	10419	1287
623	10435	1270
624	10449	1253
625	10463	1236
626	10478	1219
627	10492	1202
628	10507	1186
629	10522	1169
630	10537	1152
631	10553	1135
632	10568	1118
633	10583	1101
634	10598	1084
635	10614	1068
636	10629	1051
637	10644	1034
638	10659	1017
639	10672	1000
640	10687	983
641	10701	966
642	10717	950
643	10732	933
644	10746	916
645	10761	899
646	10776	882
647	10790	865
648	10806	849
649	10821	832
650	10836	815
651	10851	798
652	10868	782
653	10882	765
654	10896	748
655	10911	731
656	10926	715
657	10939	698
658	10954	681
659	10968	664
660	10983	648
661	10998	631
662	11014	614
663	11029	597
664	11045	581
665	11060	564
666	11075	547
667	11091	531
668	11106	514
669	11121	497
670	11137	481
671	11152	464
672	11166	447
673	11181	431
674	11195	414
675	11209	397
676	11224	381
677	11238	364
678	11253	348
679	11268	331
680	11283	314
681	11300	298
682	11316	281
683	11331	265
684	11346	248
685	11363	231
686	11377	215
687	11391	198
688	11406	182
689	11421	165
690	11436	148
691	11451	132
692	11466	115
693	11481	99
694	11495	82
695	11509	66
696	11523	49
697	11538	33
698	11554	16
699	11568	0
